title,abstract,authors,year,doi,source,keywords,doc_type,citations,database,query
Bridging Satellite Imagery and Text Descriptions for Environmental Monitoring Via Cross Modal Semantic Alignment,"The integration of diverse data sources, including satellite images and descriptive text annotations is becoming increasingly necessary for efficient environmental monitoring. Textual descriptions provide contextual and semantic details often missed by high-resolution satellite images of land cover, vegetation, water bodies, and urban areas. Therefore, the present work utilizes a cross-modal semantic alignment approach to rectify this gap, combining textual data and satellite images for improved understanding and decision-making. The proposed system uses DenseNet-121 to extract features from satellite images and a BERT-based text encoder to handle textual descriptions. The learnt representations are then harmonised using a global average pooling process and semantic congruence between the image and text domains is established through cross-modal alignment. By reducing modality disparities and improving robust feature matching, a Noise-Contrastive Estimation (NCE) loss function directs the training goal. The final output classifies the football court, whereas multimodal data alignment enhances interpretability have the accuracy of 96 % high compared to the existing and enables more reliable, context-aware environmental monitoring.",C. R; N. B. Devi,2025,10.1109/cicn67655.2025.11368114,2025 IEEE 17th International Conference on Computational Intelligence and Communication Networks (CICN),Satellite imagery;DenseNet-121;BERT;Global Average Pooling;Noise-Contrastive Estimation,IEEE Conferences,,IEEE,R1
A Hybridization of PageRank-Longformer and Latent Semantic Analysis for Enhanced Text Summarization,"This study presents a hybrid text summarization model that addresses the challenge of processing large textual datasets with enhanced efficiency and accuracy. The approach integrates Latent Semantic Analysis (LSA), PageRank, and the Longformer neural network to improve the quality of generated summaries. LSA identifies key themes and reduces dimensionality, ensuring essential content is captured while avoiding unnecessary details. PageRank ranks critical information, and the Longformer's sparse attention mechanism effectively processes long sequences, overcoming limitations of traditional models like BERT and GPT when handling lengthy documents. Evaluated using precision, recall, and F1 score metrics, the model demonstrates superior performance in retaining essential information and producing coherent, high-quality summaries across various document sizes and complexities. The results suggest the model's scalability and adaptability for different real-world applications, including academic research, legal document processing, and journalism. Future efforts will focus on further optimizing the model's computational efficiency and expanding its utility across diverse text domains.",P. Gupta; F. Khan; N. Mishra,2025,10.1109/access65134.2025.11135832,"2025 4th International Conference on Advances in Computing, Communication, Embedded and Secure Systems (ACCESS)",Hybrid text summarization;Latent Semantic Analysis (LSA);Longformer;PageRank. Computational efficiency,IEEE Conferences,,IEEE,R1
A Comparative Study of Model Fine-tuning Methods for Multimodal Data Alignment of Electronic Products,"Currently, after-sales Q&A systems for electronic products have replaced a significant amount of manual services, becoming essential for guiding after-sales maintenance and support. However, the after-sales service process faces challenges due to the diverse graphic and textual data associated with various product categories. Existing Q&A systems often struggle to align these datas effectively, making it difficult to accurately identify the attributes of the products needing service and their specific requirements. While the mainstream multimodal large model, CLIP, can effectively extract features from images and text and align graphical data, it lacks specialized domain knowledge, which hampers its ability to meet specific needs. To address this issue, this paper introduces relevant professional knowledge through model fine-tuning. Four fine-tuning approaches are employed: full parameter fine-tuning, partial parameter finetuning, added parameter fine-tuning, and LoRA (Low-Rank Adaptation) fine-tuning. These methods are trained using three labels: class, brand, and model, with HITS@K and MRR(Mean Reciprocal Rank) serving as performance metrics. Experimental results indicate that while the CLIP model demonstrates strong zero-shot learning capabilities, its performance in recognizing graphics within specialized domains is lacking. However, the four fine-tuning methods significantly enhance graphic alignment, with LoRA fine-tuning yielding the best results-approximately a 475 percent improvement compared to the pre-fine-tuning state. Additionally, ablation experiments on the LoRA method reveal that replacing the encoded part of the image with LoRA can have a substantial impact on the model’s performance.",Z. Li; J. Wu; L. Zhang; Y. Laili,2024,10.1109/uv63228.2024.11189103,2024 7th International Conference on Universal Village (UV),electronic products;CLIP model;text alignment;LoRA fine tuning;zero-shot learning,IEEE Conferences,,IEEE,R1
Efficient Entity Resolution on Heterogeneous Records,"Entity resolution (ER) is the problem of identifying and merging records that refer to the same real-world entity. In many scenarios, raw records are stored under heterogeneous environment. Specifically, the schemas of records may differ from each other. To leverage such records better, most existing work assume that schema matching and data exchange have been done to convert records under different schemas to those under a predefined schema. However, we observe that schema matching would lose information in some cases, which could be useful or even crucial to ER. To leverage sufficient information from heterogeneous sources, in this paper, we address several challenges of ER on heterogeneous records and show that none of existing similarity metrics or their transformations could be applied to find similar records under heterogeneous settings. Motivated by this, we design the similarity function and propose a novel framework to iteratively find records which refer to the same entity. Regarding efficiency, we build an index to generate candidates and accelerate similarity computation. Evaluations on real-world datasets show the effectiveness and efficiency of our methods.",Y. Lin; H. Wang; J. Li; H. Gao,2020,10.1109/tkde.2019.2898191,IEEE Transactions on Knowledge and Data Engineering,Data source;data integration;entity resolution,IEEE Journals,8.0,IEEE,R1
Quality Control of Crowd Labeling for Improving the Quality of Peer Assessments,"The effectiveness of machine learning depends on the quality of the training data. In some fields, the training data is generated from crowdsourced labels. Ensuring the reliability and accuracy of crowd-generated labels is a critical challenge. To address this, we present comprehensive research to develop and implement robust quality control strategies in crowd labeling. We focus on enhancing the effectiveness of feedback and suggestions by evaluating the taggers and the quality of tags they assign by using natural language processing techniques and machine learning. Our approach aims to assign reliability metrics to each tagger and tag, enabling researchers to filter and create machine-learning training datasets from the most reliable annotations. This research addresses this issue by implementing four quality control strategies in the domain of peer assessment and comparing their performance with manual grade scores assigned by professors. The four key quality control strategies encompass identifying taggers who tag too quickly, detecting taggers providing inconsistent labels, uncovering unreliable taggers employing pattern-based tagging, and performing agreement/disagreement analysis for tags. By individually implementing and assessing the impact of each strategy on data alignment with manual grade scores, we ascertain their effectiveness in enhancing the reliability of crowd -generated labels.",B. S. Chhabra; E. F. Gehringer,2023,10.1109/fie58773.2023.10343508,2023 IEEE Frontiers in Education Conference (FIE),Reliability;taggers;tags;Quality control;ex-pertiza;labeling;Krippendorf's alpha;strategy;pattern;IRR;project;reliable;unreliable,IEEE Conferences,1.0,IEEE,R1
Generating Diverse Image Variations With Diffusion Models by Combining Intra-Image Self-Attention and Decoupled Cross-Attention,"In this paper, we present a novel integration of Decoupled Cross-Attention and Intra-Image Self-Attention within a diffusion model framework to generate diverse and coherent image variations. Our approach leverages the Decoupled Cross-Attention mechanism from IP-Adapter to align the input image more closely with its textual description, while Intra-Image Self-Attention operates on latent representations extracted through Denoising Diffusion Implicit Models inversion to capture fine-grained dependencies within the image. By utilizing noise interpolation in the diffusion process, we effectively blend the influences of both attention mechanisms, allowing for precise control over global and local features. This integration significantly improves both the semantic fidelity and visual diversity of generated images, making it highly suitable for applications that require detailed and contextually rich image synthesis. Through a three-step process—latent extraction, attention refinement, and noise interpolation—our method demonstrates superior performance compared to traditional models, consistently producing image variations that are visually appealing and aligned with input prompts. Our experiments show that the proposed method significantly outperforms traditional models in generating nuanced image variations, proving its effectiveness and potential for enhancing creative industries and personalized media production.",D. Jeong; D. Kang; J. Park; J. Paik,2024,10.1109/access.2024.3477734,IEEE Access,Diffusion models;intra-image self-attention;image variations;semantic preservation;realistic image adaptations,IEEE Journals,2.0,IEEE,R1+R3
Deep Learning in Physical Layer: Review on Data Driven End-to-End Communication Systems and Their Enabling Semantic Applications,"Deep learning (DL) has revolutionized wireless communication systems by introducing data-driven end-to-end (E2E) learning, where the physical layer (PHY) is transformed into DL architectures to achieve peak optimization. Leveraging DL for E2E optimization in PHY significantly enhances its adaptability and performance in complex wireless environments, meeting the demands of advanced network systems such as 5G and beyond. Furthermore, this evolution of data-driven PHY optimization has also enabled advanced semantic applications across various modalities, including text, image, audio, video, and multimodal transmissions. These applications elevate communication from bit-level to semantic-level intelligence, making it capable of discerning context and intent. Although the PHY, as a DL architecture, plays a crucial role in enabling semantic communication (SemCom) systems, comprehensive studies that integrate both E2E communication and SemCom systems remain significantly underexplored. This highlights the novelty and potential of these integrative fields, marking them as a promising research domain. Therefore, this article provides a comprehensive review of the emerging field of data-driven PHY for E2E communication systems, emphasizing their role in enabling semantic applications across various modalities. It also identifies key challenges and potential research directions, serving as a crucial guide for future advancements in DL for E2E communication and SemCom systems.",N. Islam; S. Shin,2024,10.1109/ojcoms.2024.3425314,IEEE Open Journal of the Communications Society,5G and beyond wireless communication systems;artificial intelligence;deep learning;end-to-end communication;end-to-end learning;goal-oriented communication;semantic communication;semantic distortion,IEEE Journals,17.0,IEEE,R1
MPCL:Image-Text retrieval of multi-plane comparative learning,"With the rapid development of information technology, massive amounts of multimodal data such as text and images are continuously generated and accumulated at an unprecedented rate. Against this backdrop, how to accurately and efficiently obtain the information required by users from massive data through image-text retrieval has become a core challenge in the field of information retrieval. Existing retrieval models often only attempt to align retrievals within a single semantic space. In this case, the probability of incorrect retrieval increases with the growth of data volume. This paper proposes an alignment method called MPCL(Multi-Plane Contrastive Learning), which tries to project data into different query vectors through cross-attention, enabling data alignment in multiple semantic spaces, thereby greatly improving the accuracy of retrieval. Experimental results show that the retrieval performance of the model improves as the number of query vectors increases.",Y. Zeng; H. Chen; J. Wu; M. Wang; H. Zhang; Y. Yu,2025,10.1109/bigdia68682.2025.11383383,2025 11th International Conference on Big Data and Information Analytics (BigDIA),Multimodal alignment;Image-Text retrieval;Cross attention,IEEE Conferences,,IEEE,R1
PGT: A Progressive Method for Training Models on Long Videos,"Convolutional video models have an order of magnitude larger computational complexity than their counter-part image-level models. Constrained by computational resources, there is no model or training method that can train long video sequences end-to-end. Currently, the main-stream method is to split a raw video into clips, leading to incomplete fragmentary temporal information flow. Inspired by natural language processing techniques dealing with long sentences, we propose to treat videos as serial fragments satisfying Markov property, and train it as a whole by progressively propagating information through the temporal dimension in multiple steps. This progressive training (PGT) method is able to train long videos end-to-end with limited resources and ensures the effective transmission of information. As a general and robust training method, we empirically demonstrate that it yields significant performance improvements on different models and datasets. As an illustrative example, the proposed method improves SlowOnly network by 3.7 mAP on Charades and 1.9 top-1 accuracy on Kinetics with negligible parameter and computation overhead. Code is available at: https://github.com/BoPang1996/PGT.",B. Pang; G. Peng; Y. Li; C. Lu,2021,10.1109/cvpr46437.2021.01122,2021 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),,IEEE Conferences,7.0,IEEE,R1
Syntactic-Guided Chain of Thought for Iterative Implicit and Explicit Target Detection in Aspect-Based Sentiment Analysis,"Prompt engineering is essential for optimizing the performance of large-language models (LLMs), particularly in tasks requiring complex interpretations such as aspect-based sentiment analysis (ABSA). However, existing methodologies often struggle to detect implicit targets, especially in multi-opinion sentences where sentiments are directed toward aspects that are not explicitly mentioned. This study addresses this gap by proposing the Iterative Syntactic-Guided Chain of Thought (IS-COT) framework, which integrates dependency parsing with modular prompt engineering to enhance LLMs’ reasoning capabilities. IS-COT leverages syntactic structures and iterative refinement to detect both explicit and implicit targets while resolving ambiguities in multi-opinion contexts. Experimental evaluations on benchmark datasets, Sem-Eval 2015 (Res15) and Sem-Eval 2016 (Res16), demonstrated the effectiveness of the framework, achieving superior performance with 80.43 F1 scores on Res15 and 84.47 F1 scores on Res16, significantly outperforming state-of-the-art models. These results highlight IS-COT’s potential of IS-COT as a comprehensive and interpretable solution for ABSA, addressing the critical limitations of existing approaches and advancing the field through innovative syntactic and semantic integration.",M. Radi; N. Omar; W. Kaur,2025,10.1109/access.2025.3568695,IEEE Access,Aspect-based sentiment analysis (ABSA);prompt engineering;chain of thought (COT);explicit opinion;implicit opinion;target-aspect-sentiment (TASD);dependency relations,IEEE Journals,2.0,IEEE,R1
FineStyle: Semantic-Aware Fine-Grained Motion Style Transfer with Dual Interactive-Flow Fusion,"We present FineStyle, a novel framework for motion style transfer that generates expressive human animations with specific styles for virtual reality and vision fields. It incorporates semantic awareness, which improves motion representation and allows for precise and stylish animation generation. Existing methods for motion style transfer have all failed to consider the semantic meaning behind the motion, resulting in limited controls over the generated human animations. To improve, FineStyle introduces a new cross-modality fusion module called Dual Interactive-Flow Fusion (DIFF). As the first attempt, DIFF integrates motion style features and semantic flows, producing semantic-aware style codes for fine-grained motion style transfer. FineStyle uses an innovative two-stage semantic guidance approach that leverages semantic clues to enhance the discriminative power of both semantic and style features. At an early stage, a semantic-guided encoder introduces distinct semantic clues into the style flow. Then, at a fine stage, both flows are further fused interactively, selecting the matched and critical clues from both flows. Extensive experiments demonstrate that FineStyle outperforms state-of-the-art methods in visual quality and controllability. By considering the semantic meaning behind motion style patterns, FineStyle allows for more precise control over motion styles. Source code and model are available on https://github.com/XingliangJin/Fine-Style.git.",W. Song; X. Jin; S. Li; C. Chen; A. Hao; X. Hou,2023,10.1109/tvcg.2023.3320216,IEEE Transactions on Visualization and Computer Graphics,Motion Style Transfer;Semantic-aware Motion Transfer;Dual Interactive-Flow Fusion,IEEE Journals,15.0,IEEE,R1
CL-XABSA: Contrastive Learning for Cross-Lingual Aspect-Based Sentiment Analysis,"Aspect-based sentiment analysis (ABSA), an extensively researched area in the field of natural language processing (NLP), predicts the sentiment expressed in a text relative to the corresponding aspect. Unfortunately, most languages lack sufficient annotation resources; thus, an increasing number of recent researchers have focused on cross-lingual aspect-based sentiment analysis (XABSA). However, most recent studies focus only on cross-lingual data alignment instead of model alignment. Therefore, we propose a novel framework, CL-XABSA: contrastive learning for cross-lingual aspect-based sentiment analysis. Based on contrastive learning, we close the distance between samples with the same label in different semantic spaces, achieving convergence of semantic spaces of different languages. Specifically, we design two contrastive objectives, token-level contrastive learning of token embeddings (TL-CTE) and sentiment-level contrastive learning of token embeddings (SL-CTE), to unify the semantic space of source and target languages. Since CL-XABSA can receive datasets in multiple languages during training, it can be further extended to multilingual aspect-based sentiment analysis (MABSA). To further improve the model performance, we perform knowledge distillation with target-language unlabeled data. In the distillation XABSA task, we further explore the effectiveness of different data (source dataset, translated dataset, and code-switched dataset). The results demonstrate that the proposed method has a certain improvement in the three XABSA tasks, distillation XABSA and MABSA.",N. Lin; Y. Fu; X. Lin; D. Zhou; A. Yang; S. Jiang,2023,10.1109/taslp.2023.3297964,"IEEE/ACM Transactions on Audio, Speech, and Language Processing",Contrastive Learning;cross-lingual aspect-based sentiment analysis;knowledge distillation;multilingual aspect-based sentiment analysis,IEEE Journals,32.0,IEEE,R1
Genomic Compression With Read Alignment at the Decoder,"We propose a new compression scheme for genomic data given as sequence fragments called reads. The scheme uses a reference genome at the decoder side only, freeing the encoder from the burdens of storing references and performing computationally costly alignment operations. The main ingredient of the scheme is a multi-layer code construction, delivering to the decoder sufficient information to align the reads, correct their differences from the reference, validate their reconstruction, and correct reconstruction errors. The core of the method is the well-known concept of distributed source coding with decoder side information, fortified by a generalized-concatenation code construction enabling efficient embedding of all the information needed for reliable reconstruction. We first present the scheme for the case of substitution errors only between the reads and the reference, and then extend it to support reads with a single deletion and multiple substitutions. A central tool in this extension is a new distance metric that is shown analytically to improve alignment performance over existing distance metrics.",Y. Gershon; Y. Cassuto,2023,10.1109/jsait.2023.3300831,IEEE Journal on Selected Areas in Information Theory,Distributed source coding;generalized concatenation;coset coding;genomic sequencing data;alignment,IEEE Journals,2.0,IEEE,R1
Memory-facilitated Joint-space Shift Adaptation in Traffic Forecasting,"Traffic forecasting, crucial for intelligent transport systems, faces significant challenges from distribution shifts due to the dynamic nature of traffic patterns. Although normalisation approaches have been proposed to address distribution shifts in other time-series forecasting tasks such as predicting electricity consumption load prediction or influenza-like illness patient number estimation, they fall short in handling the complex spatial and temporal shifts in traffic data. In this paper, we propose a novel memory-facilitated joint-space shift adaptation framework, ST-Align, to address this problem in traffic forecasting. ST-Align comprises two key components targeting the input and latent space, respectively: a memory-based data alignment module in the input space, and an end-to-end memory network structure dedicated to alignment within the latent space. This joint-space design enables our ST-Align framework to effectively capture and adapt to dynamic distribution shifts in both spatial and temporal dimensions, thus enhancing model performance. Extensive experiments on various real-world datasets and prediction backbones convincingly demonstrate the robustness and generalisability of our method.",Y. Wei; H. Haitao; G. Schaefer; Z. Ji; Y. Wang; H. Fang,2024,10.1109/ijcnn60899.2024.10651200,2024 International Joint Conference on Neural Networks (IJCNN),traffic forecasting;instance normalisation;distribution shift;memory network,IEEE Conferences,1.0,IEEE,R1
Convolution Bridge: An Effective Algorithmic Migration Strategy From CNNs to GNNs,"Graph neural networks (GNNs), as a rising star in machine learning, are widely used in relational data models and have achieved outstanding performance in graph tasks. GNN continuously takes inspiration from mature models in other domains such as computer vision and natural language processing to motivate the development of graph algorithms. However, due to the various data structures from different domains, the cross-domain migration of models has to go through a long period of disassembly and reconstruction, which may not yield the desired results. To preserve the excellent properties of convolution and optimize the migration process from convolutional neural networks (CNNs) to GNNs, we propose a convolution bridge. The convolution bridge realizes the data alignment from CNN to GNN, so that the CNN-based model can be efficiently migrated to the graph structure model. To demonstrate the effectiveness of our migration strategy, we migrated the inception module and U-Net architecture from CNNs to GNNs, named GraInc and GraU-Net, for the node-level task and the graph-level task, respectively. Experimental results show that GraInc and GraU-Net are highly competitive compared to the current state-of-the-art models, particularly on dense graph datasets.",K. Zhang; S. Pang; H. Yang; Y. Zhang; W. Wu; H. Li; J. Chun-Wei Lin,2025,10.1109/tnnls.2025.3527501,IEEE Transactions on Neural Networks and Learning Systems,Cross-domain migration;deep learning;graph classification;graph neural networks (GNNs);node classification,IEEE Journals,1.0,IEEE,R1
A Spatial-Frequency Fusion Strategy Based on Linguistic Query Refinement for RSVG,"Remote sensing visual grounding (RSVG) represents a pivotal task aimed at pinpointing regions highly relevant to textual descriptions by parsing remote sensing image content. Existing RSVG methodologies focus on multimodal semantic integration on specific datasets, overlooking the intricate high-dimensional information present in remote sensing images, where color, scale, and semantics are tightly coupled. Consequently, these approaches exhibit limitations in handling specific receptive fields or preserving structural information within remote sensing images, leading to insufficient localization precision. To address this issue, this article introduces a strategy that incorporates spatial frequency information, leveraging Fourier transforms to capture global structured information from remote sensing data. This is followed by a progressive aggregation across spatial, spectral, and linguistic modalities to achieve robust semantic coreference. The primary contributions of this article are as follows: First, a spatial-frequency fusion strategy based on linguistic query refinement is proposed, which enhances visual grounding performance significantly by extracting spectral features with potent spatial perception capabilities through the expansion of the spectral receptive field. Second, a frequency-guided spatial (FGS) module is designed, utilizing amplitude and phase-structured spectral features to augment spatial representation capabilities further. Lastly, a query-aware original attention (QOA) mechanism is developed, facilitating deep integration of spatial and spectral information under linguistic guidance. Extensive experimentation on the RSVGD dataset validates the efficacy of the proposed approach, demonstrating superior performance when compared to state-of-the-art methods.",E. Zhao; Z. Wan; Z. Zhang; J. Nie; X. Liang; L. Huang,2024,10.1109/tgrs.2024.3471082,IEEE Transactions on Geoscience and Remote Sensing,Attention mechanism;frequency spectrum;remote sensing visual grounding (RSVG);spatial-frequency fusion,IEEE Journals,5.0,IEEE,R1
Artificial Intelligence-driven Solution for Prompt Identification of Mental Health Concerns in Adolescents,"Globally, adolescents’ mental health is a major problem, and successful intervention and therapy depend heavily on early identification. In this research, we present the creation of an AI-based system to identify mental health problems in teenagers at an early age. In order to find possible symptoms of mental health issues, the system uses machine learning algorithms to examine data from a variety of sources, such as social media postings, text messages, and behavioral patterns. In order to extract mood, linguistic patterns, and semantic clues suggestive of psychological discomfort, the system incorporates natural language processing techniques. It also uses information from wearable technology and smartphone apps to track activity levels and physiological signs, giving parents a complete picture of their adolescent’s health. Feature extraction, sentiment analysis, anomaly detection, and risk assessment algorithms are important parts of the AI system that work together to identify early warning indicators of mental health problems. To increase accuracy and generalization across various demographic groups and cultural situations, the system makes use of cutting-edge neural network designs that have been trained on a variety of datasets. Throughout the system development and deployment phases, ethical issues such as data protection, confidentiality, and informed permission are carefully taken into account. Integration of the AI system with the current healthcare infrastructure enables smooth communication between mental health specialists, caregivers, and the AI system, facilitating prompt interventions and support services.",B. Panigrahi; K. Priya; A. Bansal; R. Choudhary,2024,10.1109/giest62955.2024.10960096,2024 IEEE 1st International Conference on Green Industrial Electronics and Sustainable Technologies (GIEST),Global;healthcare;semantic;integration;efficacy,IEEE Conferences,3.0,IEEE,R1+R3
A Momentum Contrastive Learning Framework for Query-POI Matching,"The query-POI matching task involves interpreting noisy textual addresses to retrieve corresponding Points-of-Interest (POIs), which is crucial for location-based service providers. However, existing methods typically rely on annotated user search logs, limiting their generalization. This paper address the query-POI matching problem through geographical data alignment using a contrastive learning framework. Our model, MoCo-GA (Momentum Contrastive Geographical Alignment), learns similar representations for various geographical data elements of the same POI, including query address, POI address, and geolocation. We developed a method to create a cross-modal geographical dataset from crowd-sourced data for training. Our MoCo-GA employs the momentum contrastive instance discrimination mechanism to learn representations for textual addresses. We further proposed a siamese contrastive learning module to to for geographical data alignment. Experimental results demonstrate that MoCo-GA can consistently outperform baseline methods on query-POI matching task, particularly in zero-shot scenarios. Our code is available at https://github.com/CainiaoTechAi/TextGeoAlign",Y. Qiang; J. Zheng; L. Wu; H. Wen; J. Lou; M. Deng,2024,10.1109/icdm59182.2024.00101,2024 IEEE International Conference on Data Mining (ICDM),cross-modal learning;contrastive learning;query-POI matching,IEEE Conferences,3.0,IEEE,R1
AI-Powered Digital Twin Framework for Land Use Change in Disaster Affected Regions,"The increasing frequency and severity of natural and anthropogenic disasters, including those induced by war and climate change, demand innovative tools for monitoring, forecasting, and managing land use change. This article presents a novel AI-powered Digital Twin (DT) framework tailored for disaster-affected regions, integrating multimodal satellite data, climate reanalysis, and in situ observations. The architecture comprises modular Digital Twin Instances (DTIs), each addressing specific thematic domains, such as vegetation dynamics, land surface temperature, and forest cover dynamics, coordinated through a central Digital Twin Aggregator (DTA). The system supports both rapid and gradual monitoring cycles, enabling timely and scalable assessments. We incorporate recent advances in geospatial foundation models, physics-informed neural networks, and semantic harmonization to address data heterogeneity and scarcity. The framework is demonstrated through pilot applications in Ukraine and Switzerland. In Ukraine, DTIs capture conflict-related cropland losses and forest degradation near the front line, as well as post-flood recovery following the Kakhovka Dam destruction; in Switzerland, annual-scale forest dynamics are assessed, highlighting gradual structural shifts in response to climate and socio-economic drivers. A cognitive user interface further enhances usability by integrating large language models for natural language interaction, improving accessibility for nontechnical users. The proposed framework offers a scalable and adaptive approach to land use monitoring, with significant implications for disaster management, environmental recovery, and sustainable development.",N. Kussul; G. Giuliani; A. Shelestov; A. Cherniatevych; S. Drozd; A. Kolotii; Y. Salii; O. Yavorskyi; V. Malyniak; A. Lavreniuk; C. Poussin,2025,10.1109/jstars.2025.3623870,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,AI-Powered Digital Twin;cognitive AI interface;disaster management;geospatial foundation models;land use change;machine learning for earth observation;multimodal data fusion;physics-informed neural networks;postdisaster recovery;remote sensing;spatio-temporal analysis;vegetation dynamics,IEEE Journals,2.0,IEEE,R1
Analysis of Emerging Trends and Challenges in Multimodal Data,"The rapid development of multimodal data analysis has transformed fields, including social sciences, healthcare, and genetics. Multimodal techniques increase predictive accuracy, enable strong decision-making, and enhance tailored treatments by incorporating visuals, text, sensor outputs, and genomic sequences-many different data kinds. However, handling diverse, high-dimensional data presents significant difficulties in scalability, integration, and processing efficiency; hence, creative fusion methods and AI-driven models are quite necessary. With an eye on applications in neurodegenerative disease diagnosis, cancer detection, and precision medicine, this work investigates developing trends, approaches, and obstacles in multimodal data processing. With statistical and deep learning systems, including Convolutional Neural Networks (CNNs), Transformers, and Bayesian models, we cover fusion methodologies, including early/late integration, kernel-based alignment, and active subspace analysis. Unified data pipelines are shown in case studies of multimodal systems, including INSMA for ICU monitoring and SCALA for genetic profiling, to be rather useful. While it offers scalable infrastructure, interpretable artificial intelligence, and cost effective computational solutions, multimodal analysis constantly struggles with noise reduction, data harmonization, and cross-modal learning. Real-time multimodal integration, including social variables in disease prediction and translational bioinformatics, should be a top priority in future studies to increase clinical relevance and extend society's impact.",M. Shamim; A. R. Faridi; F. Masood,2025,10.23919/indiacom66777.2025.11115680,2025 12th International Conference on Computing for Sustainable Global Development (INDIACom),Artificial Intelligence;Multimodal;deep learning;healthcare;frameworks,IEEE Conferences,,IEEE,R1
An Adaptive Wind Power Prediction Model Based on Cross-Attention Mechanism With Incremental Alignment,"Wind energy is a clean energy source that can effectively reduce pollution. Efficient and accurate wind power forecasting helps optimize the operation and scheduling of wind farms, thereby enhancing energy utilization. The intensity of wind energy is closely related to weather information, and these data are in the form of time series. Currently, most time series forecasting models use multi-head self-attention mechanisms and gated recurrent units. However, the self-attention mechanism has disorderly characteristics, which may disrupt the data sequence and lead to the loss of temporal information; meanwhile, gated recurrent units have limited effectiveness in capturing information among multiple variables, making it challenging to significantly improve prediction accuracy. To address these shortcomings, this study innovatively introduces a cross-attention mechanism into the core prediction algorithm and proposes a new forecasting module, the CA module, which can capture information among variables while maintaining the orderliness of the time series. Furthermore, to address the time lag between weather information and power data, this study designs a novel data alignment algorithm based on increments and combines it with variational mode decomposition to achieve multi-source feature alignment, further improving prediction accuracy. Additionally, a reinforcement learning algorithm is used as a hyperparameter optimization framework during the forecasting process to determine the optimal hyperparameters for different tasks, thus enhancing the model’s accuracy and practicality. The experiments are based on weather and corresponding power data from four wind power stations in eastern China during spring, including ablation, comparison, and generalization experiments. The results show that the proposed model improves wind power output forecasting accuracy by more than 15% across different time scales compared to current mainstream algorithms, with short- to medium-term prediction accuracy improvements of up to 58.1%. Note to Practitioners—The motivation of this paper is to improve the accuracy of wind power generation forecasting, thereby facilitating better regulation and dispatch of wind farms and enhancing resource utilization. Most existing forecasting models are based on methods such as Transformer and LSTM. However, the disorderly nature of these models and their limited ability to capture information among multiple variables constrain their performance, making it difficult to achieve breakthrough improvements. This paper proposes a novel forecasting module based on cross-attention. Initially, the raw data is decomposed into different frequency modes, and then the similarity between power and weather factors at different frequencies is calculated to assign different weights, enabling the model to fully capture the correlation information among multiple variables. Additionally, this paper introduces an incremental data alignment algorithm, which combines the multi-step average relative growth rate with an exponential weighted average to construct a new curve, which is used for dynamic time warping. This significantly improves alignment and eliminates the time lag effect of weather factors on power. The experimental results show that the proposed solution significantly improves prediction accuracy compared to current mainstream models. However, due to the potential influence and similarity between different variables and frequency bands, future research will explore using cross-band forecasting to address this issue. Moreover, this model can also be applied to other multi-dimensional time series forecasting tasks, such as weather forecasting, traffic congestion, and generator oil temperature prediction, demonstrating high practical value.",L. Jiang; Y. Wang; Z. Lu; Y. Gao,2025,10.1109/tase.2025.3548789,IEEE Transactions on Automation Science and Engineering,Wind power prediction;incremental dynamic time alignment;cosine similarity cross-attention mechanism;reinforcement learning,IEEE Journals,1.0,IEEE,R1
Multimodal Learning Techniques for Time Series Forecasting in Renewable Energy Systems: A Comprehensive Survey,"Renewable energy systems, such as solar, wind, and hybrid sources, present complex forecasting challenges due to their stochastic and weather-dependent nature. The growing availability of heterogeneous and complementary data modalities including meteorological forecasts, satellite imagery, numerical sensor streams, and grid interaction logs has motivated the application of multimodal learning techniques to improve time series forecasting accuracy. Unlike previous surveys that either focused narrowly on single-modality forecasting or provided only high-level overviews, this paper offers a focused and technically grounded review of multimodal learning strategies specific to renewable energy forecasting. We categorize and compare key fusion strategies (early, late, hybrid), analyze deep model architectures (e.g., co-attention and transformer-based fusion), and discuss deployment-related challenges such as data alignment, modality missingness, and interpretability. Then, this paper reviews multimodal learning techniques based on four main aspects, i.e., classify fusion techniques, examine model architectures, showcase practical application scenarios, and summarize benchmark datasets. Finally, the paper identifies existing research gaps and outlines promising future directions in this rapidly evolving field, such as self-supervised multimodal learning and adaptive fusion under uncertainty.",M. Mansouri; K. Attouri; S. S. Refaat,2025,10.1109/access.2025.3602914,IEEE Access,Multimodal learning;renewable energy forecasting;time series forecasting;data fusion;deep learning;benchmark data sets;forecast uncertainty,IEEE Journals,4.0,IEEE,R1
